Index,Title,Description,Year,Movie Suitability,Category,Minutes,Rating,Votes,Director,Stars,Gross
1,The Shawshank Redemption,"
    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",1994,R,"
Drama            ",142 min,9.3,"2,385,373",Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']",$28.34M
2,The Godfather,"
    An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.",1972,R,"
Crime, Drama            ",175 min,9.2,"1,653,121",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",$134.97M
3,The Dark Knight,"
    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,PG-13,"
Action, Crime, Drama            ",152 min,9.0,"2,348,542",Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",$534.86M
4,The Godfather: Part II,"
    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,R,"
Crime, Drama            ",202 min,9.0,"1,150,044",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",$57.30M
5,12 Angry Men,"
    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",1957,Approved,"
Crime, Drama            ",96 min,9.0,"704,111",Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']",$4.36M
6,The Lord of the Rings: The Return of the King,"
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",2003,PG-13,"
Action, Adventure, Drama            ",201 min,8.9,"1,668,469",Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']",$377.85M
7,Pulp Fiction,"
    The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994,R,"
Crime, Drama            ",154 min,8.9,"1,857,828",Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",$107.93M
8,Schindler's List,"
    In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993,R,"
Biography, Drama, History            ",195 min,8.9,"1,233,181",Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']",$96.90M
9,Inception,"
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",2010,PG-13,"
Action, Adventure, Sci-Fi            ",148 min,8.8,"2,107,010",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']",$292.58M
10,Fight Club,"
    An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.",1999,R,"
Drama            ",139 min,8.8,"1,887,046",David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']",$37.03M
11,The Lord of the Rings: The Fellowship of the Ring,"
    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",2001,PG-13,"
Action, Adventure, Drama            ",178 min,8.8,"1,689,107",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']",$315.54M
12,Forrest Gump,"
    The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",1994,PG-13,"
Drama, Romance            ",142 min,8.8,"1,845,487",Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",$330.25M
13,"The Good, the Bad and the Ugly","
    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.",1966,R,"
Western            ",178 min,8.8,"698,834",Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']",$6.10M
14,The Lord of the Rings: The Two Towers,"
    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002,PG-13,"
Action, Adventure, Drama            ",179 min,8.7,"1,508,865",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']",$342.55M
15,The Matrix,"
    When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1999,R,"
Action, Sci-Fi            ",136 min,8.7,"1,705,822",Lana Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']",$171.48M
16,Goodfellas,"
    The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",1990,R,"
Biography, Crime, Drama            ",146 min,8.7,"1,039,847",Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']",$46.84M
17,Star Wars: Episode V - The Empire Strikes Back,"
    After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",1980,PG,"
Action, Adventure, Fantasy            ",124 min,8.7,"1,176,212",Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",$290.48M
18,One Flew Over the Cuckoo's Nest,"
    A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",1975,R,"
Drama            ",133 min,8.7,"931,427",Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']",$112.00M
19,Parasite,"
    Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",2019,R,"
Comedy, Drama, Thriller            ",132 min,8.6,"600,103",Bong Joon Ho,"['Kang-ho Song', 'Sun-kyun Lee', 'Yeo-jeong Cho', 'Woo-sik Choi']",$53.37M
20,Interstellar,"
    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",2014,PG-13,"
Adventure, Drama, Sci-Fi            ",169 min,8.6,"1,551,604",Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']",$188.02M
21,City of God,"
    In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",2002,R,"
Crime, Drama            ",130 min,8.6,"708,102",Fernando Meirelles,"['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']",$7.56M
22,Spirited Away,"
    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",2001,PG,"
Animation, Adventure, Family            ",125 min,8.6,"668,076",Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']",$10.06M
23,Saving Private Ryan,"
    Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1998,R,"
Drama, War            ",169 min,8.6,"1,258,934",Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']",$216.54M
24,The Green Mile,"
    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",1999,R,"
Crime, Drama, Fantasy            ",189 min,8.6,"1,170,226",Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']",$136.80M
25,Life Is Beautiful,"
    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",1997,PG-13,"
Comedy, Drama, Romance            ",116 min,8.6,"635,133",Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']",$57.60M
26,Se7en,"
    Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995,R,"
Crime, Drama, Mystery            ",127 min,8.6,"1,472,802",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']",$100.13M
27,The Silence of the Lambs,"
    A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991,R,"
Crime, Drama, Thriller            ",118 min,8.6,"1,294,764",Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",$130.74M
28,Star Wars: Episode IV - A New Hope,"
    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977,PG,"
Action, Adventure, Fantasy            ",121 min,8.6,"1,248,282",George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']",$322.74M
29,Hara-Kiri,"
    When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",1962,Not Rated,"
Action, Drama, Mystery            ",133 min,8.6,"44,683",Masaki Kobayashi,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba']","44,683"
30,Seven Samurai,"
    A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.",1954,Not Rated,"
Action, Adventure, Drama            ",207 min,8.6,"320,682",Akira Kurosawa,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']",$0.27M
31,It's a Wonderful Life,"
    An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.",1946,PG,"
Drama, Family, Fantasy            ",130 min,8.6,"411,682",Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']","411,682"
32,Hamilton,"
    The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",2020,PG-13,"
Biography, Drama, History            ",160 min,8.5,"63,499",Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']","63,499"
33,Raatchasan,"
    A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.",2018,Not Rated,"
Action, Crime, Thriller            ",170 min,8.5,"27,998",Ram Kumar,"['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan']","27,998"
34,Whiplash,"
    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.",2014,R,"
Drama, Music            ",106 min,8.5,"735,818",Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']",$13.09M
35,The Intouchables,"
    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2011,R,"
Biography, Comedy, Drama            ",112 min,8.5,"776,257",Olivier Nakache,"['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']",$13.18M
36,The Prestige,"
    After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",2006,PG-13,"
Drama, Mystery, Sci-Fi            ",130 min,8.5,"1,212,054",Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']",$53.09M
37,The Departed,"
    An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.",2006,R,"
Crime, Drama, Thriller            ",151 min,8.5,"1,209,868",Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",$132.38M
38,The Pianist,"
    A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.",2002,R,"
Biography, Drama, Music            ",150 min,8.5,"746,236",Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']",$32.57M
39,Gladiator,"
    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",2000,R,"
Action, Adventure, Drama            ",155 min,8.5,"1,362,752",Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']",$187.71M
40,American History X,"
    A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.",1998,R,"
Drama            ",119 min,8.5,"1,047,598",Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']",$6.72M
41,The Usual Suspects,"
    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",1995,R,"
Crime, Mystery, Thriller            ",106 min,8.5,"1,005,322",Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']",$23.34M
42,Léon: The Professional,"
    Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994,R,"
Action, Crime, Drama            ",110 min,8.5,"1,053,514",Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']",$19.50M
43,The Lion King,"
    Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994,G,"
Animation, Adventure, Drama            ",88 min,8.5,"958,946",Roger Allers,"['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']",$422.78M
44,Terminator 2: Judgment Day,"
    A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.",1991,R,"
Action, Sci-Fi            ",137 min,8.5,"1,008,629",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']",$204.84M
45,Cinema Paradiso,"
    A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.",1988,R,"
Drama, Romance            ",155 min,8.5,"235,724",Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']",$11.99M
46,Grave of the Fireflies,"
    A young boy and his little sister struggle to survive in Japan during World War II.",1988,Not Rated,"
Animation, Drama, War            ",89 min,8.5,"241,990",Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara']","241,990"
47,Back to the Future,"
    Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",1985,PG,"
Adventure, Comedy, Sci-Fi            ",116 min,8.5,"1,078,392",Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']",$210.61M
48,Once Upon a Time in the West,"
    A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.",1968,PG-13,"
Western            ",165 min,8.5,"307,237",Sergio Leone,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']",$5.32M
49,Psycho,"
    A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",1960,R,"
Horror, Mystery, Thriller            ",109 min,8.5,"614,102",Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']",$32.00M
50,Casablanca,"
    A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.",1942,PG,"
Drama, Romance, War            ",102 min,8.5,"529,477",Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",$1.02M
51,Modern Times,"
    The Tramp struggles to live in modern industrial society with the help of a young homeless woman.",1936,G,"
Comedy, Drama, Family            ",87 min,8.5,"222,141",Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']",$0.16M
52,City Lights,"
    With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1931,G,"
Comedy, Drama, Romance            ",87 min,8.5,"170,758",Charles Chaplin,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']",$0.02M
53,Capernaum,"
    While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",2018,R,"
Drama            ",126 min,8.4,"68,062",Nadine Labaki,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole', 'Kawsar Al Haddad']",$1.66M
54,Joker,"
    In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",2019,R,"
Crime, Drama, Thriller            ",122 min,8.4,"990,648",Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']",$335.45M
55,Your Name.,"
    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",2016,PG,"
Animation, Drama, Fantasy            ",106 min,8.4,"206,803",Makoto Shinkai,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita', 'Aoi Yûki']",$5.02M
56,Dangal,"
    Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.",2016,Not Rated,"
Action, Biography, Drama            ",161 min,8.4,"161,724",Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']",$12.39M
57,Spider-Man: Into the Spider-Verse,"
    Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",2018,PG,"
Animation, Action, Adventure            ",117 min,8.4,"396,631",Bob Persichetti,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']",$190.24M
58,Avengers: Endgame,"
    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019,PG-13,"
Action, Adventure, Drama            ",181 min,8.4,"866,064",Anthony Russo,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",$858.37M
59,Avengers: Infinity War,"
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",2018,PG-13,"
Action, Adventure, Sci-Fi            ",149 min,8.4,"871,905",Anthony Russo,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']",$678.82M
60,Coco,"
    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",I 2017,PG,"
Animation, Adventure, Family            ",105 min,8.4,"402,742",Lee Unkrich,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']",$209.73M
61,Django Unchained,"
    With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",2012,R,"
Drama, Western            ",165 min,8.4,"1,384,858",Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']",$162.81M
62,The Dark Knight Rises,"
    Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",2012,PG-13,"
Action, Adventure            ",164 min,8.4,"1,541,123",Christopher Nolan,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']",$448.14M
63,3 Idiots,"
    Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",2009,PG-13,"
Comedy, Drama            ",170 min,8.4,"352,098",Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']",$6.53M
64,Like Stars on Earth,"
    An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",2007,PG,"
Drama, Family            ",165 min,8.4,"173,479",Aamir Khan,"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma']",$1.22M
65,WALL·E,"
    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",2008,G,"
Animation, Adventure, Family            ",98 min,8.4,"1,016,500",Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']",$223.81M
66,The Lives of Others,"
    In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",2006,R,"
Drama, Mystery, Thriller            ",137 min,8.4,"364,578",Florian Henckel von Donnersmarck,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']",$11.29M
67,Oldboy,"
    After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2003,R,"
Action, Drama, Mystery            ",120 min,8.4,"525,342",Chan-wook Park,"['Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']",$0.71M
68,Memento,"
    A man with short-term memory loss attempts to track down his wife's murderer.",2000,R,"
Mystery, Thriller            ",113 min,8.4,"1,142,223",Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']",$25.54M
69,Princess Mononoke,"
    On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",1997,PG-13,"
Animation, Action, Adventure            ",134 min,8.4,"351,391",Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']",$2.38M
70,Once Upon a Time in America,"
    A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984,R,"
Crime, Drama            ",229 min,8.4,"317,364",Sergio Leone,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']",$5.32M
71,Indiana Jones and the Raiders of the Lost Ark,"
    In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",1981,PG,"
Action, Adventure            ",115 min,8.4,"895,482",Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']",$248.16M
72,The Shining,"
    A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",1980,R,"
Drama, Horror            ",146 min,8.4,"914,869",Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']",$44.02M
73,Apocalypse Now,"
    A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.",1979,R,"
Drama, Mystery, War            ",147 min,8.4,"615,998",Francis Ford Coppola,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']",$83.47M
74,Alien,"
    After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",1979,R,"
Horror, Sci-Fi            ",117 min,8.4,"800,934",Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']",$78.90M
75,High and Low,"
    An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.",1963,Not Rated,"
Crime, Drama, Mystery            ",143 min,8.4,"36,373",Akira Kurosawa,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai', 'Kyôko Kagawa']","36,373"
76,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"
    An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.",1964,PG,"
Comedy            ",95 min,8.4,"456,500",Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']",$0.28M
77,Witness for the Prosecution,"
    A veteran British barrister must defend his client in a murder trial that has surprise after surprise.",1957,Approved,"
Crime, Drama, Mystery            ",116 min,8.4,"111,543",Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']",$8.18M
78,Paths of Glory,"
    After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",1957,Approved,"
Drama, War            ",88 min,8.4,"181,535",Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']","181,535"
79,Rear Window,"
    A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.",1954,PG,"
Mystery, Thriller            ",112 min,8.4,"450,937",Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']",$36.76M
80,Sunset Blvd.,"
    A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.",1950,Passed,"
Drama, Film-Noir            ",110 min,8.4,"204,934",Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']","204,934"
81,The Great Dictator,"
    Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.",1940,Passed,"
Comedy, Drama, War            ",125 min,8.4,"206,437",Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']",$0.29M
